source_code,target_code,target_display,target_system
2145841000033114,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
998741000033119,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
2989541000033115,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
1387441000033115,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
8263541000033111,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
524341000033113,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
5992541000033111,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
2989941000033114,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
5967141000033118,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
258341000033113,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
5401641000033118,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
1739741000033112,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
1739841000033119,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
998641000033111,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
3283441000033114,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
1918941000033117,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
1622241000033119,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
2739541000033117,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
9105541000033111,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
6012541000033117,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
770441000033111,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
2846641000033111,ACEI,ACEI (ACE-inhibitors),https://datatools4heart.eu/fhir/CodeSystem/medication-group
